question,answer
aku capek,Istirahat dulu ya.|Kayaknya kamu butuh rehat.
capek banget,Istirahat dulu ya.|Jangan dipaksain.
kepala berat,Istirahat dulu ya.|Mungkin kamu kelelahan.
aku lelah,Istirahat dulu ya.|Tubuh kamu minta berhenti sebentar.
badan rasanya capek,Istirahat dulu ya.|Kayaknya kamu perlu rehat sebentar.
badan pegel semua,Istirahat dulu ya.|Badannya minta istirahat tuh.
rasanya lelah banget,Istirahat dulu ya.|Jangan dipaksakan, ya.
aku ngerasa capek,Istirahat dulu ya.|Coba tarik napas dulu.
aku kecapekan,Istirahat dulu ya.|Tubuh kamu butuh jeda.
cape seharian,Istirahat dulu ya.|Hari ini kelihatannya berat buat kamu.
badan drop,Istirahat dulu ya.|Kayaknya energi kamu lagi habis.
tenaga habis,Istirahat dulu ya.|Isi ulang tenaga dulu, ya.
aku ngos ngosan,Istirahat dulu ya.|Pelan-pelan aja, jangan dipaksa.
rasanya pengen rebahan,Istirahat dulu ya.|Dengerin badan kamu.
kepala sama badan capek,Istirahat dulu ya.|Capeknya kerasa ya.
aku letih,Istirahat dulu ya.|Wajar kalau kamu butuh istirahat.
aku cape banget hari ini,Istirahat dulu ya.|Hari ini berat ya buat kamu.
badan rasanya berat,Istirahat dulu ya.|Itu tanda kamu kelelahan.
energi ku habis,Istirahat dulu ya.|Saatnya berhenti sebentar.
aku ngerasa drop banget,Istirahat dulu ya.|Jangan keras sama diri sendiri.
aku capek mental,Istirahat dulu ya.|Capek itu nggak selalu fisik.
pikiran sama badan capek,Istirahat dulu ya.|Kamu udah berjuang hari ini.
rasanya pengen berhenti sebentar,Istirahat dulu ya.|Nggak apa-apa istirahat.
aku udah nggak kuat,Istirahat dulu ya.|Istirahat itu bukan menyerah.
aku sedih,Aku di sini kalau kamu mau cerita.|Nggak apa-apa ngerasa sedih.
aku lagi sedih banget,Kedengerannya berat ya.|Aku dengerin kamu.
rasanya pengen nangis,Nangis itu nggak apa-apa.|Lepasin aja dulu.
aku ngerasa kosong,Kosong itu capek ya.|Kamu nggak sendirian.
hati aku berat,Kamu lagi ngerasa terpukul ya.|Pelan-pelan ya.
aku down banget,Kayaknya kamu lagi jatuh.|Aku temenin.
aku ngerasa gagal,Gagal itu manusiawi.|Kamu masih berharga.
aku kecewa sama diri sendiri,Kamu terlalu keras sama diri kamu.|Tarik napas dulu.
aku ngerasa sendiri,Aku ada di sini.|Kamu nggak sendirian.
hidup kok berat banget ya,Memang ada hari-hari kayak gitu.|Pelan-pelan aja.
aku kesel banget,Kedengerannya kamu lagi emosi.|Mau cerita kenapa?
aku marah,Marah itu wajar.|Coba ceritain.
emosi gue naik,Kayaknya ada yang nyulut emosi kamu.|Tenang dulu yuk.
aku jengkel,Sesuatu pasti bikin kamu kesal.|Aku dengerin.
aku capek sama orang-orang,Itu melelahkan ya.|Nggak gampang ngadepinnya.
pengen ngamuk rasanya,Kayaknya kamu lagi nahan banyak.|Tarik napas pelan.
aku bete banget,Bete itu manusiawi.|Ada apa?
kesel banget sumpah,Kedengerannya kamu udah di batas.|Cerita aja.
aku marah sama keadaan,Keadaan emang nggak selalu adil.|Perasaan kamu valid.
semua bikin emosi,Kayaknya hari ini berat buat kamu.|Pelan-pelan ya.
aku seneng banget,Kedengerannya kamu lagi bahagia.|Ikut seneng dengernya.
hari ini aku happy,Wah, kabar bagus.|Apa yang bikin seneng?
aku lagi bahagia,Nice.|Nikmatin momennya.
aku senyum sendiri nih,Kayaknya ada hal manis ya.|Ceritain dong.
aku ngerasa lega,Lega itu rasanya enak ya.|Akhirnya ya.
aku excited banget,Wah, semangatnya kerasa.|Ada apa nih?
hari ini menyenangkan,Kedengerannya hari kamu baik.|Semoga terus ya.
aku puas sama hasilnya,Keren.|Usaha kamu kebayar.
aku ngerasa tenang sekarang,Tenang itu mahal.|Jaga perasaan itu.
aku lagi mood bagus,Nice.|Nikmatin suasananya.
aku kuat,Kedengerannya kamu lagi percaya diri.|Itu hal bagus.
aku kan kuat,Kamu keliatan yakin sama diri kamu.|Terus jaga itu.
