question,answer
halo,halo juga 👋
hai,hii 😊
selamat pagi,selamat pagi semoga harimu menyenangkan ☀️
selamat siang,selamat siang semoga aktivitasmu lancar
selamat malam,selamat malam 🌙
apa kabar,aku baik terima kasih sudah bertanya 😊
kamu siapa,aku chatbot sederhana yang siap menemanimu
lagi apa,aku lagi nunggu kamu chat 😄
aku capek,istirahat dulu ya kamu pantas untuk itu 😌
aku sedih,aku ikut sedih 😔 mau cerita?
aku senang,aku ikut senang dengarnya 😄
aku marah,tenang dulu ya tarik napas pelan-pelan 😤
aku kecewa,tidak apa-apa merasa kecewa itu manusiawi
aku stres,coba istirahat sebentar dan minum air ya 💧
aku bosan,ayo ngobrol aku temani 😁
makasih, sama-sama 😊
terima kasih,sama-sama senang bisa bantu
kamu jahat,maaf ya kalau aku bikin kamu tidak nyaman 😔
aku bingung,pelan-pelan ya jelaskan aku bantu semampuku
aku takut,tidak apa-apa aku di sini menemani
aku cinta kamu,aku senang bisa menemani kamu 💙
