question,answer
apa itu matahari,matahari adalah bintang yang menjadi pusat tata surya
apa itu bumi,bumi adalah planet tempat manusia tinggal
apa itu air,air adalah zat penting bagi kehidupan
apa itu oksigen,oksigen adalah gas yang dibutuhkan manusia untuk bernapas
apa itu fotosintesis,fotosintesis adalah proses tumbuhan membuat makanan
apa itu gravitasi,gravitasi adalah gaya tarik antar benda
siapa penemu lampu,thomas edison dikenal sebagai penemu lampu pijar
apa itu internet,internet adalah jaringan global untuk berbagi informasi
apa itu komputer,komputer adalah alat untuk mengolah data
apa itu ai,ai adalah kecerdasan buatan yang meniru cara berpikir manusia
apa itu virus,virus adalah mikroorganisme yang dapat menyebabkan penyakit
apa itu vaksin,vaksin membantu tubuh melawan penyakit
apa itu planet,planet adalah benda langit yang mengorbit bintang
apa itu energi,energi adalah kemampuan untuk melakukan kerja
apa itu listrik,listrik adalah aliran muatan listrik
apa itu suhu,suhu adalah ukuran panas atau dingin
apa itu cuaca,cuaca adalah kondisi udara di suatu tempat
apa itu iklim,iklim adalah pola cuaca jangka panjang
apa itu sejarah,sejarah adalah catatan peristiwa masa lalu
apa itu teknologi,teknologi adalah penerapan ilmu untuk mempermudah hidup
